127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/jquery.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.006000
127.0.0.1, 2015-09-29 14:35:28, GET, /AplicacaoTeste/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/facebook.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/twitter.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 14:35:29, GET, /AplicacaoTeste/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 15:29:57, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/default/index, HTTP/1.1, 200, 0.469000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.030000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.031000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.077000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.019000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-09-29 15:29:58, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/default/index, HTTP/1.1, 303, 0.268000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/default/site, HTTP/1.1, 200, 0.121000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/js/calendar.js, HTTP/1.1, 200, 0.022000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/js/web2py.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/js/jquery.js, HTTP/1.1, 200, 0.046000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/plugin_multiselect/start.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/js/bootstrap.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/images/questions.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/images/folder.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/images/folder_locked.png, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:30:03, GET, /admin/static/_2.12.3/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.197000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/css/calendar.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/jquery.js, HTTP/1.1, 200, 0.015000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/calendar.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.009000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/images/background.jpg, HTTP/1.1, 200, 0.004000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/images/twitter.png, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/images/facebook.png, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-09-29 15:30:05, GET, /AplicacaoTeste/static/images/gplus-32.png, HTTP/1.1, 200, 0.022000
127.0.0.1, 2015-09-29 15:34:02, GET, /, HTTP/1.1, 303, 0.002000
127.0.0.1, 2015-09-29 15:34:02, GET, /welcome/default/index, HTTP/1.1, 200, 0.097000
127.0.0.1, 2015-09-29 15:34:04, GET, /admin/default/index, HTTP/1.1, 303, 0.081000
127.0.0.1, 2015-09-29 15:34:04, GET, /admin/default/site, HTTP/1.1, 200, 0.045000
127.0.0.1, 2015-09-29 15:34:05, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-09-29 15:34:06, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.108000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/default/index, HTTP/1.1, 200, 0.021000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/css/bootstrap-theme.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/css/web2py-bootstrap3.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/jquery.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/css/calendar.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/web2py.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-09-29 15:34:18, GET, /AplicacaoTeste/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.001000
